鄉鎮市區,土地區段位置或建物區門牌,建築完成年月,編號
士林區,臺北市士林區福德路31巷9號,1010112,RPWPMLKMLHKFFEA08CA
士林區,臺北市士林區福德路31巷14號,1010112,RPPPMLRLLHKFFEA97CA
大安區,臺北市大安區基隆路二段244號,1001130,RPSOMLSJMHKFFFA28CA
內湖區,臺北市內湖區新明路498巷14弄8號,1001123,RPVPMLLJMHKFFCA67CA
文山區,臺北市文山區指南路三段27號,1001101,RPWOMLTKLHKFFAA38DA
內湖區,臺北市內湖區內湖路一段707號,1001028,RPUPMLQLLHKFFCA18CA
大安區,臺北市大安區信義路四段381號,1001027,RPWNMLKKMHKFFFA87CA
內湖區,臺北市內湖區行善路417巷41號,1001012,RPXPMLKMLHKFFCA97CA
松山區,臺北市松山區健康路391號,1000706,RPTNMLQKMHKFFDA97CA
大同區,臺北市大同區迪化街一段335號,1000701,RPRNMLKLMHKFFBA07CA
中山區,臺北市中山區撫順街24號,1000630,RPORMLKLMHKFFCA27CA
內湖區,臺北市內湖區港華街119號,1000610,RPORMLTKLHKFFCA97CA
松山區,臺北市松山區南京東路五段251巷48號,1000530,RPROMLRLLHKFFDA08DA
大同區,臺北市大同區太原路8號,1000418,RPWNMLKLLHKFFBA47CA
大同區,臺北市大同區民權西路103號,1000330,RPUOMLNLLHKFFBA67CA
內湖區,臺北市內湖區民權東路六段180巷152號,1000221,RPOQMLKLLHKFFCA07CA
內湖區,臺北市內湖區民權東路六段180巷141號,1000221,RPPPMLMJMHKFFCA17CA
文山區,臺北市文山區木柵路四段146號,1000214,RPPNMLLMLHKFFAA86CA
文山區,臺北市文山區木柵路四段135號,1000214,RPQOMLRKMHKFFAA57CA
中山區,臺北市中山區中山北路一段121巷50號,1000128,RPQNMLLMLHKFFCA17CA
內湖區,臺北市內湖區內湖路一段670號,991123,RPPPMLOLLHKFFCA47CA
大同區,臺北市大同區華亭街58號,991101,RPPOMLNLLHKFFBA17CA
文山區,臺北市文山區羅斯福路六段274號,990930,RPQOMLTKLHKFFAA67CA
中山區,臺北市中山區南京東路二段112號,990917,RPUSMLRJMHKFFCA48CA
信義區,臺北市信義區基隆路二段162號,990901,RPUOMLKMLHKFFDA67CA
中正區,臺北市中正區廈門街137號,990825,RPUNMLPLLHKFFAA67CA
文山區,臺北市文山區中崙路25巷6號,990812,RPQNMLKMLHKFFAA86CA
文山區,臺北市文山區指南路三段32巷11號,990806,RPQOMLQLLHKFFAA47CA
文山區,臺北市文山區指南路三段32巷1號,990729,RPVOMLKMLHKFFAA47CA
中正區,臺北市中正區中華路二段467巷10弄19號,990714,RPROMLKMLHKFFAA07CA
南港區,臺北市南港區經貿二路185巷54號,990628,RPRNMLQLLHKFFDA77CA
中山區,臺北市中山區南京東路二段194號,990528,RPXNMLRKLHKFFCA28CA
文山區,臺北市文山區興隆路二段301巷3號,990507,RPSNMLQLLHKFFAA57CA
文山區,臺北市文山區興隆路二段301巷8號,990507,RPTOMLLMLHKFFAA47DA
中山區,臺北市中山區敬業二路69巷27號,990430,RPRQMLNLLHKFFCA67CA
中山區,臺北市中山區敬業一路36巷2號,990430,RPOOMLOLLHKFFCA27CA
內湖區,臺北市內湖區行善路231號,990329,RPTPMLSKLHKFFCA28DA
中正區,臺北市中正區南昌路一段131號,990301,RPPNMLRJMHKFFAA27CA
中山區,臺北市中山區新生北路三段56巷11號,981021,RPUPMLKMLHKFFCA67CA
南港區,臺北市南港區重陽路125巷36弄15號,980921,RPRQMLLMLHKFFDA67CA
中山區,臺北市中山區新生北路二段35號,980916,RPWPMLKMLHKFFCA87CA
松山區,臺北市松山區八德路四段653號,980727,RPSOMLNLLHKFFDA67CA
中山區,臺北市中山區農安街28號,980622,RPQPMLOLLHKFFCA67DA
中山區,臺北市中山區吉林路218巷18號,980401,RPPPMLKMLHKFFCA17CA
中山區,臺北市中山區中山北路一段78號,980327,RPROMLLJMHKFFCA17CA
北投區,臺北市北投區幽雅路18號,980205,RPRPMLKLLHKFFEA47CA
北投區,臺北市北投區幽雅路23號,980205,RPTOMLTKLHKFFEA38CA
大安區,臺北市大安區四維路170巷42號,980115,RPOOMLNLLHKFFFA57DA
北投區,臺北市北投區明德路150巷2號,980114,RPOQMLKLLHKFFEA27CA
大安區,臺北市大安區基隆路二段186號,980109,RPPNMLMLLHKFFFA37CA
大安區,臺北市大安區基隆路二段205號,980109,RPWOMLKMLHKFFFA08CA
大安區,臺北市大安區基隆路二段195號,980109,RPQPMLSJMHKFFFA18CA
內湖區,臺北市內湖區民權東路六段139號,980106,RPUNMLQJMHKFFCA87CA
內湖區,臺北市內湖區民權東路六段129號,980106,RPRVMLPLLHKFFCA38CA
中山區,臺北市中山區樂群三路44號,971224,RPPRMLKLLHKFFCA27CA
內湖區,臺北市內湖區大湖山莊街176巷3號,971127,RPRQMLKLLHKFFCA37CA
北投區,臺北市北投區吉利街127巷22號,971111,RPURMLOLLHKFFEA48DA
內湖區,臺北市內湖區行善路48巷27號,971024,RPPPMLLMLHKFFCA27CA
內湖區,臺北市內湖區行善路48巷16號,971024,RPQPMLLMLHKFFCA37CA
士林區,臺北市士林區士東路276號,971014,RPRPMLPLLHKFFEA97CA
內湖區,臺北市內湖區新湖一路341號,971002,RPOOMLLMLHKFFCA07CA
中山區,臺北市中山區新生北路二段89號,970925,RPPPMLKLLHKFFCA07CA
內湖區,臺北市內湖區民權東路六段455號,970916,RPUPMLKLLHKFFCA57CA
內湖區,臺北市內湖區環山路二段53巷5弄24號,970804,RPOQMLLMLHKFFCA37DA
內湖區,臺北市內湖區文德路73號,970729,RPOQMLNLLHKFFCA37CA
內湖區,臺北市內湖區安泰街108號,970619,RPVOMLTKLHKFFCA38CA
文山區,臺北市文山區羅斯福路五段97號,970618,RPPOMLQLLHKFFAA37CA
北投區,臺北市北投區中央南路二段26號,970523,RPROMLSKLHKFFEA08CA
士林區,臺北市士林區德行西路32號,970502,RPSQMLLMLHKFFEA87CA
內湖區,臺北市內湖區瑞湖街110號,970417,RPPNMLOLLHKFFCA27CA
大安區,臺北市大安區和平東路一段50巷1弄25號,970414,RPTNMLQLLHKFFFA18CA
大安區,臺北市大安區和平東路一段50巷1弄15號,970414,RPPNMLSJMHKFFFA87CA
內湖區,臺北市內湖區南京東路六段334號,970407,RPPQMLLMLHKFFCA37CA
內湖區,臺北市內湖區內湖路一段411巷62弄9號,970331,RPORMLPLLHKFFCA67CA
中山區,臺北市中山區雙城街19巷28號,970312,RPPPMLTKLHKFFCA87CA
中山區,臺北市中山區雙城街19巷17號,970312,RPSQMLLMLHKFFCA67CA
