SNO,RELIGION_TYPE,CB_NAME,CB_SNAME,PTNAME1,V_NAME,CB_REG_TITLE,PRESIDENT_NAME,CB_TEL,TOTAL_ADDR,R_STREET,R_SECTION,R_LANE,R_ALLEY,R_NO,R_OTHER,TOTAL_ADDR_rebuild,WGS84_Y_rebuild,WGS84_X_rebuild,WGS84_X,WGS84_Y,TM97_X,TM97_Y,DATA_STR,REG_NO,CB_PRESIDENT_NAME,total_addr2
R0067,財團法人寺廟,財團法人台北市金萬成團,,大同區,民權里,道教,連傳金,25576116,,民權西路,,184巷,,1號,,大同區民權里民權西路184巷1號,25.0623891,121.5148485,121.5147637,25.06247014,301934.4,2772795.708,農曆3月3日|農曆3月4日|,102證他字第380號登記簿第北1冊第53頁第000116號,,
R0068,未成立財團法人寺廟,天恩宮,天恩宮,文山區,指南里,一貫道,張傳良,29382888,,指南路,3段,38巷,,37之2號,,文山區指南里指南路3段38巷37之2號,24.9703793,121.5921521,121.5921513,24.97038031,309786.783,2762627.101,農曆11月15日(彌勒古佛誕辰)|,北市民三字第09730202100號,,
R0069,財團法人寺廟,財團法人九府仙師普惠堂,,中山區,集英里,道教,張輝雄,2542-6811,民權西路70巷49號,民權西路,,70巷,,49號,,中山區集英里民權西路70巷49號,25.0606473,121.5205848,121.5205792,25.06063721,302521.919,2772594.938,農曆9月12日|,103證他字第248號登記簿第81冊第82頁第2110號,,
R0070,未成立財團法人寺廟,台北市圓玄學社,,中山區,中央里,佛教,王進宏,25027096,,長春路,,163巷,,18號,,中山區中央里長春路163巷18號,25.055565,121.5334321,121.533587,25.05552765,303836.546,2772034.102,農曆4月8日|,北市民宗字第10330973400號,,
R0071,財團法人寺廟,財團法人台北市天師宮,,大同區,國慶里,道教,郭添福,25956499,延平北路3段99號,延平北路,3段,,,99號,,大同區國慶里延平北路3段99號,25.0678426,121.5110083,121.533587,25.05552765,301556.8781,2773399.47,農曆2月1日|,100證他字第385號登記簿第北2冊第33頁第000299號,,
R0072,未成立財團法人寺廟,福正宮,,中山區,劍潭里,道教,郭榮華,25925144,,中山北路,4段,,,67號,,中山區劍潭里中山北路4段67號,25.080347,121.5278359,121.5244989,25.08042931,302908.891,2774788.782,農曆8月15日|,北市民宗字第10332036700號,,
R0073,未成立財團法人寺廟,慧日講堂,,中山區,力行里,佛教,林進添,27711417,朱崙街36號,朱崙街,,,,36號,,中山區力行里朱崙街36號,25.0498659,121.5412444,121.5412886,25.04990002,304616.098,2771413.816,農曆12月8日|,北市民宗字第10330965500號,,
R0074,未成立財團法人寺廟,九府仙師廟,,中山區,集英里,道教,李宗波,25317349,民權西路70巷31、33號,民權西路,,70巷,,31、33號,,中山區集英里民權西路70巷31、33號,25.0615983,121.520159,121.5412886,25.04990002,302478.568,2772694.99,農曆9月1日|農曆9月12日|,北市民宗字第10430017900號,,
R0075,未成立財團法人寺廟,台北市文昌宮,,中山區,集英里,道教,黃忠慶,25210366,民生西路45巷9號,民生西路,,45巷,,9號,,中山區集英里民生西路45巷9號,25.0579157,121.5216455,121.5209953,25.05923514,302564.492,2772439.8,農曆2月3日|,北市民宗字第10330888300號,,
R0076,未成立財團法人寺廟,景新宮,,中山區,新庄里,道教,阮曜煌,25954128,,濱江街,,,,6之1號,,中山區新庄里濱江街6之1號,25.070876,121.529156,121.5291674,25.07091212,303383.928,2773736.474,農曆2月2日|,,,
